"Campaign name",Age,Gender,Day,"Delivery status","Delivery level","Ad set name","Attribution setting","Result Type",Results,Reach,Impressions,"Cost per result","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (USD)","Clicks (all)","Reporting starts","Reporting ends"
"31 December Engagement campaign",55-64,unknown,2024-12-25,completed,campaign,,"7-day click or 1-day view",,,60,60,,-,-,-,0.06986421,2,2024-12-25,2024-12-25
"31 December Engagement campaign",45-54,unknown,2024-12-25,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",2,115,141,0.0249515,-,-,-,0.04990301,4,2024-12-25,2024-12-25
"31 December Engagement campaign",65+,unknown,2024-12-25,completed,campaign,,"7-day click or 1-day view",,,20,27,,-,-,-,0.0199612,1,2024-12-25,2024-12-25
"31 December Engagement campaign",55-64,male,2024-12-25,completed,campaign,,"7-day click or 1-day view",,,40,40,,-,-,-,0.0199612,0,2024-12-25,2024-12-25
"31 December Engagement campaign",45-54,female,2024-12-25,completed,campaign,,"7-day click or 1-day view",,,234,261,,-,-,-,0.25949564,4,2024-12-25,2024-12-25
"31 December Engagement campaign",45-54,male,2024-12-25,completed,campaign,,"7-day click or 1-day view",,,123,124,,-,-,-,0.12974782,3,2024-12-25,2024-12-25
"31 December Engagement campaign",55-64,female,2024-12-25,completed,campaign,,"7-day click or 1-day view",,,59,70,,-,-,-,0.06986421,0,2024-12-25,2024-12-25
"31 December Engagement campaign",65+,male,2024-12-25,completed,campaign,,"7-day click or 1-day view",,,64,64,,-,-,-,0.03992241,1,2024-12-25,2024-12-25
"31 December Engagement campaign",35-44,unknown,2024-12-25,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",1,272,272,0.11976722,-,-,-,0.11976722,5,2024-12-25,2024-12-25
"31 December Engagement campaign",25-34,unknown,2024-12-25,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",1,1010,1032,0.44912706,-,-,-,0.44912706,9,2024-12-25,2024-12-25
"31 December Engagement campaign",18-24,male,2024-12-25,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",5,1375,1489,0.17366246,-,-,-,0.86831232,16,2024-12-25,2024-12-25
"31 December Engagement campaign",35-44,male,2024-12-25,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",1,305,308,0.30939864,-,-,-,0.30939864,3,2024-12-25,2024-12-25
